,title,location.latitude,location.longitude
0,Bibliometro,40.44444653179131,-3.67813993012987
1,Bibliored,40.44444653179131,-3.67813993012987
2,Biblioteca Pública Antonio Mingote (Latina),40.37944226151668,-3.769445829090458
3,Biblioteca Pública Elena Fortún (Retiro),40.40356992125351,-3.672414651864732
4,Biblioteca Pública Hortaleza,40.47723185032398,-3.6496247031818596
5,Biblioteca Pública José Acuña (Moncloa - Aravaca),40.427942010682415,-3.7169600607379985
6,Biblioteca Pública José Hierro (Usera),40.38188182427109,-3.7106164073640233
7,Biblioteca Pública José Luis Sampedro (Chamberí),40.43539063992494,-3.6996132452669075
8,Biblioteca Pública Luis Martín Santos (Villa de Vallecas),40.38091437280583,-3.613674447421734
9,Biblioteca Pública Luis Rosales (Carabanchel),40.373420234648606,-3.7480802097487653
10,Biblioteca Pública María Moliner (Villaverde),40.34952409541233,-3.710123586489839
11,Biblioteca Pública Miguel Hernández (Puente de Vallecas),40.38449423079662,-3.6429247082087737
12,Biblioteca Pública Moratalaz,40.404043531769375,-3.649450874958104
13,Biblioteca Pública Municipal Aluche (Latina),40.39597072367931,-3.7562716852987847
14,Biblioteca Pública Municipal Ana María Matute (Carabanchel),40.39786734087938,-3.720088245008897
15,Biblioteca Pública Municipal Benito Pérez Galdós (Centro),40.42738668300474,-3.7105999955473625
16,Biblioteca Pública Municipal Canillejas (San Blas-Canillejas),40.44640229188281,-3.6117933204271098
17,Biblioteca Pública Municipal Ciudad Lineal (Ciudad Lineal),40.43644651057092,-3.6372924261150033
18,Biblioteca Pública Municipal David Gistau (Salamanca),40.43199309720514,-3.670929243543714
19,Biblioteca Pública Municipal Dámaso Alonso (Chamartín),40.467453379213175,-3.6846112774442705
20,Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro),40.4166091081099,-3.6795930368034804
21,Biblioteca Pública Municipal Francisco Ayala (Vicálvaro),40.39982891410407,-3.621281890570377
22,Biblioteca Pública Municipal Francisco Ibáñez (Chamartín),40.44810636195716,-3.6762309620097398
23,Biblioteca Pública Municipal Gabriel García Márquez (Usera),40.366768324753416,-3.701141063083806
24,Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas),40.37790196240434,-3.6227296605039516
25,Biblioteca Pública Municipal Gloria Fuertes (Barajas),40.46055947228695,-3.5937461811785347
26,Biblioteca Pública Municipal Huerta de la Salud (Hortaleza),40.47571688103069,-3.64667257750353
27,Biblioteca Pública Municipal Iván de Vargas (Centro),40.41410290844665,-3.7098591212735883
28,Biblioteca Pública Municipal José Hierro (San Blas-Canillejas),40.433291625973624,-3.6105662311927453
29,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),40.47860087334554,-3.7094408342979954
30,Biblioteca Pública Municipal La Chata (Carabanchel),40.38330593504341,-3.7420633861175796
31,Biblioteca Pública Municipal La Elipa (Ciudad Lineal),40.42342659084215,-3.651841641389484
32,Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán),40.45749513485957,-3.710539712535917
33,Biblioteca Pública Municipal Mario Vargas Llosa (Centro),40.426642215368176,-3.699722994908341
34,Biblioteca Pública Municipal María Lejárraga (Hortaleza),40.49041562546542,-3.655356751728003
35,Biblioteca Pública Municipal María Zambrano (Tetuán),40.46903299144094,-3.6976620067964996
36,Biblioteca Pública Municipal Miguel Delibes (Moratalaz),40.40971737692924,-3.6529822109115133
37,Biblioteca Pública Municipal Pablo Neruda (Ciudad Lineal),40.42941133441142,-3.6416899839787695
38,Biblioteca Pública Municipal Portazgo (Puente de Vallecas),40.393189968014696,-3.6554147649183943
39,Biblioteca Pública Municipal Pozo del Tío Raimundo (Puente de Vallecas),40.3735856436473,-3.6602546064905397
40,Biblioteca Pública Municipal Pío Baroja (Arganzuela),40.40003652682007,-3.7074488154950584
41,Biblioteca Pública Municipal San Blas (San Blas-Canillejas),40.420231627534996,-3.6218113860909074
42,Biblioteca Pública Municipal San Fermín (Usera),40.3711623444796,-3.692742821990015
43,Biblioteca Pública Municipal Vallecas (Puente de Vallecas),40.395023959810636,-3.665554302127492
44,Biblioteca Pública Municipal Vicálvaro,40.405283650744316,-3.6086278232922804
45,Biblioteca Pública Municipal Ángel González (Latina),40.397074625115906,-3.7664885474841556
46,Biblioteca Pública Pedro Salinas (Centro),40.40709558029403,-3.711046518464516
47,Biblioteca Pública Rafael Alberti (Fuencarral - El Pardo),40.48791129077104,-3.6984002338920092
48,Biblioteca Pública Ruiz Egea (Chamberí),40.446595985821794,-3.7028897237155656
49,Biblioteca Pública del Estado Manuel Alvar  (Salamanca),40.43440083847048,-3.66897244650415
